,track_id,bit_rate,comments,composer,date_created,date_recorded,duration,favorites,genre_top,genres,genres_all,information,interest,language_code,license,listens,lyricist,number,publisher,tags,title
11,173,192000,0,James Squeaky,2008-11-26 01:46:12,2006-01-01 00:00:00,218,0,Rock,[25],"[25, 12]",,475,en,Attribution-NonCommercial-ShareAlike 3.0 International,177,,4,,[],Save Life's Golden Receipt In Case Refund Needed
12,174,192000,0,James Squeaky,2008-11-26 01:46:14,2006-01-01 00:00:00,199,0,Rock,[25],"[25, 12]",,405,en,Attribution-NonCommercial-ShareAlike 3.0 International,116,,6,,[],Senator's Stance
13,175,192000,0,,2008-11-26 01:46:16,2006-10-07 00:00:00,111,0,Rock,[25],"[25, 12]",,365,en,Attribution-NonCommercial-ShareAlike 3.0 International,72,,6,,[],Snapped Today
14,176,320000,0,,2008-11-26 01:46:18,2008-11-26 00:00:00,160,0,Rock,[25],"[25, 12]",<p>Unreleased</p>,461,en,Attribution-NonCommercial-ShareAlike 3.0 International,104,,6,,[],Step Up to Legends
15,177,192000,0,James Squeaky,2008-11-26 01:46:21,2006-01-01 00:00:00,129,0,Rock,[25],"[25, 12]",,529,en,Attribution-NonCommercial-ShareAlike 3.0 International,160,,7,,[],Petty Hate Machine
16,178,192000,0,,2008-11-26 01:46:23,2006-02-01 00:00:00,259,1,Rock,[25],"[25, 12]",,287,en,Attribution-NonCommercial-ShareAlike 3.0 International,149,,0,,[],Lend Me a Blanket
17,179,320000,0,,2008-11-26 01:46:25,2008-11-26 00:00:00,90,0,Rock,[25],"[25, 12]",,591,en,Attribution-NonCommercial-ShareAlike 3.0 International,226,,0,,[],Ready to Die
18,181,256000,0,,2008-11-26 01:46:31,2006-01-01 00:00:00,171,8,Rock,[27],"[27, 12]",,1736,en,Attribution-Noncommercial-No Derivative Works 3.0 United States,1339,,1,,[],Gopacapulco
19,182,256000,0,,2008-11-26 01:46:34,2008-11-26 00:00:00,228,19,Rock,[27],"[27, 12]",,5990,en,Attribution-Noncommercial-No Derivative Works 3.0 United States,5547,,3,,[],Jules Lost His Jewels
20,183,256000,0,,2008-11-26 01:46:37,2008-11-26 00:00:00,260,9,Rock,[27],"[27, 12]",,1264,en,Attribution-Noncommercial-No Derivative Works 3.0 United States,869,,4,,[],For Kate I Wait
21,184,256000,0,,2008-11-26 01:46:41,2008-11-26 00:00:00,254,9,Rock,[27],"[27, 12]",,1197,en,Attribution-Noncommercial-No Derivative Works 3.0 United States,831,,6,,[],Helen
22,226,197144,0,,2008-11-26 01:48:54,2006-01-01 00:00:00,231,4,Rock,[25],"[25, 12]",,2764,en,Attribution-Noncommercial-Share Alike 3.0 United States,1351,,2,,[],W.T.M.
23,228,190365,0,,2008-11-26 01:49:00,2006-01-01 00:00:00,218,2,Rock,[25],"[25, 12]",,2467,en,Attribution-Noncommercial-Share Alike 3.0 United States,1366,,4,,[],Don't Run With Pizzas
24,247,256000,0,,2008-11-26 01:50:17,2006-11-26 00:00:00,146,3,Rock,[12],[12],,1549,en,Attribution-Noncommercial-Share Alike 3.0 United States,532,,2,,[],A New Map for Kissing
25,249,256000,0,,2008-11-26 01:50:23,2006-11-26 00:00:00,125,3,Rock,[12],[12],,1470,en,Attribution-Noncommercial-Share Alike 3.0 United States,425,,4,,[],The Indefinite Time Yet to Come
26,252,256000,0,,2008-11-26 01:50:30,2006-11-26 00:00:00,173,2,Rock,[12],[12],,512,en,Attribution-Noncommercial-Share Alike 3.0 United States,374,,10,,[],It's Becoming a Stranger
27,255,256000,0,,2008-11-26 01:50:38,2006-11-26 00:00:00,182,24,Rock,[12],[12],,5585,en,Attribution-Noncommercial-Share Alike 3.0 United States,4495,,12,,[],We Want to be Old
28,256,256000,0,,2008-11-26 01:50:40,2006-11-07 00:00:00,202,3,Rock,[31],"[12, 31]",,2864,en,Attribution-NonCommercial-ShareAlike 3.0 International,2311,,1,,[],Toggle
29,257,320000,0,,2008-11-26 01:50:42,2006-11-07 00:00:00,146,3,Rock,[31],"[12, 31]",,2177,en,Attribution-NonCommercial-ShareAlike 3.0 International,766,,2,,[],My Lil'
30,258,320000,0,,2008-11-26 01:50:47,2006-11-07 00:00:00,384,2,Rock,[31],"[12, 31]",,1779,en,Attribution-NonCommercial-ShareAlike 3.0 International,1350,,4,,[],Eyebone
31,303,256000,0,chris andrews,2008-11-26 01:52:35,2007-09-01 00:00:00,136,0,Rock,[89],"[89, 12, 25]",,159,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,89,,1,,[],Splish spladdy
32,304,256000,0,,2008-11-26 01:52:37,1982-11-26 00:00:00,191,0,Rock,[89],"[89, 12, 25]",,241,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,167,,1,,[],Woo You
33,305,256000,0,,2008-11-26 01:52:40,1981-01-01 00:00:00,159,0,Rock,[89],"[89, 12, 25]",,2873,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,2605,,2,,[],Disney on Ice
34,306,256000,0,,2008-11-26 01:52:41,2007-09-01 00:00:00,129,0,Rock,[89],"[89, 12, 25]",,131,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,50,,2,,[],The Prime Four
35,307,256000,0,,2008-11-26 01:52:43,2007-09-01 00:00:00,205,0,Rock,[89],"[89, 12, 25]",,289,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,190,,3,,[],Out on the farm
36,308,256000,0,,2008-11-26 01:52:46,1982-11-26 00:00:00,186,0,Rock,[89],"[89, 12, 25]",,345,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,260,,4,,[],The Hotel
37,309,256000,0,,2008-11-26 01:52:49,2007-09-01 00:00:00,229,0,Rock,[89],"[89, 12, 25]",,147,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,56,,4,,[],Where are all the people
38,310,256000,0,,2008-11-26 01:52:51,1981-01-01 00:00:00,146,0,Rock,[89],"[89, 12, 25]",,194,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,109,,5,,[],Going Down to Soho
39,311,256000,0,,2008-11-26 01:52:53,1982-11-26 00:00:00,205,0,Rock,[89],"[89, 12, 25]",,1597,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,1484,,5,,[],Tropical Holiday Time
40,312,256000,0,,2008-11-26 01:52:57,2007-09-01 00:00:00,199,0,Rock,[89],"[89, 12, 25]",,833,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,748,,6,,[],Tropical Sheep
41,313,256000,0,,2008-11-26 01:52:58,1982-11-26 00:00:00,142,0,Rock,[89],"[89, 12, 25]",,141,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,70,,7,,[],Think Things Of You
42,314,256000,0,,2008-11-26 01:53:01,2007-09-01 00:00:00,166,0,Rock,[89],"[89, 12, 25]",,142,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,69,,8,,[],Daisey Chains
43,315,256000,0,,2008-11-26 01:53:04,1981-01-01 00:00:00,280,0,Rock,[89],"[89, 12, 25]",,383,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,297,,8,,[],Interference
44,316,256000,0,,2008-11-26 01:53:07,1981-01-01 00:00:00,87,0,Rock,[89],"[89, 12, 25]",,156,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,90,,9,,[],Itching in my pants
45,317,256000,0,,2008-11-26 01:53:08,1982-11-26 00:00:00,198,0,Rock,[89],"[89, 12, 25]",,322,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,241,,9,,[],Very Nice
46,318,256000,0,,2008-11-26 01:53:11,2008-11-26 00:00:00,41,0,Rock,[89],"[89, 12, 25]",,209,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,153,,0,,[],1-2-3-4
47,319,256000,0,,2008-11-26 01:53:12,2007-09-01 00:00:00,156,0,Rock,[89],"[89, 12, 25]",,422,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,325,,10,,[],Complete Shakespeare
48,320,256000,0,,2008-11-26 01:53:14,1981-01-01 00:00:00,316,0,Rock,[89],"[89, 12, 25]",,406,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,309,,10,,[],The Natives are Restless
49,321,256000,0,,2008-11-26 01:53:19,1982-11-26 00:00:00,273,0,Rock,[89],"[89, 12, 25]",,693,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,487,,11,,[],Heart Attack
50,322,256000,0,,2008-11-26 01:53:22,2007-09-01 00:00:00,110,1,Rock,[89],"[89, 12, 25]",,386,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,304,,11,,[],Shopping Bag
51,323,256000,0,,2008-11-26 01:53:24,2007-09-01 00:00:00,237,0,Rock,[89],"[89, 12, 25]",,171,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,94,,12,,[],Crocodile Song
52,324,256000,0,,2008-11-26 01:53:27,1982-11-26 00:00:00,120,0,Rock,[89],"[89, 12, 25]",,185,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,106,,12,,[],I just don't know
53,325,256000,0,,2008-11-26 01:53:29,1981-01-01 00:00:00,199,2,Rock,[89],"[89, 12, 25]",,300,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,217,,12,,[],Liquidizing Chickens
54,326,256000,0,,2008-11-26 01:53:32,1982-11-26 00:00:00,105,0,Rock,[89],"[89, 12, 25]",,286,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,228,,13,,[],Burn
55,327,256000,0,,2008-11-26 01:53:33,1982-11-26 00:00:00,259,0,Rock,[89],"[89, 12, 25]",,234,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,164,,15,,[],Hands Beckoning
56,328,256000,0,,2008-11-26 01:53:37,1982-11-26 00:00:00,236,0,Rock,[89],"[89, 12, 25]",,328,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,254,,16,,[],Central Park
57,330,256000,0,,2008-11-26 01:53:43,2007-09-01 00:00:00,270,0,Rock,[89],"[89, 12, 25]",,146,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,58,,17,,[],White Man
58,331,256000,0,,2008-11-26 01:53:46,2007-09-01 00:00:00,214,0,Rock,[89],"[89, 12, 25]",,187,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,105,,19,,[],Weatherman
59,332,256000,0,,2008-11-26 01:53:49,2008-11-26 00:00:00,174,0,Rock,[89],"[89, 12, 25]",,139,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,76,,0,,[],39th floor Club
60,333,256000,0,,2008-11-26 01:53:51,1981-01-01 00:00:00,96,0,Rock,[89],"[89, 12, 25]",,423,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,322,,0,Cherry Red Music (UK),[],Blah intro
61,334,256000,0,,2008-11-26 01:53:53,1981-01-01 00:00:00,275,0,Rock,[89],"[89, 12, 25]",,405,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,388,,0,Cherry Red Music (UK),[],Blahpunk
62,335,256000,0,,2008-11-26 01:53:57,1981-01-01 00:00:00,188,1,Rock,[89],"[89, 12, 25]",,303,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,225,,0,Cherry Red Music (UK),[],Bored
63,336,256000,0,,2008-11-26 01:53:59,1981-01-01 00:00:00,204,0,Rock,[89],"[89, 12, 25]",,226,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,144,,0,Cherry Red Music (UK),[],Breeder
64,337,256000,0,,2008-11-26 01:54:02,1981-01-01 00:00:00,271,0,Rock,[89],"[89, 12, 25]",,279,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,195,,0,Cherry Red Music (UK),[],Brian's Garage
65,338,256000,0,,2008-11-26 01:54:06,1981-01-01 00:00:00,88,0,Rock,[89],"[89, 12, 25]",,196,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,160,,0,Cherry Red Music (UK),[],Cabages in the sunset
66,339,256000,0,,2008-11-26 01:54:08,1981-01-01 00:00:00,110,0,Rock,[89],"[89, 12, 25]",,177,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,118,,0,Cherry Red Music (UK),[],Chimpanzees disease
67,340,256000,0,,2008-11-26 01:54:10,1981-01-01 00:00:00,142,0,Rock,[89],"[89, 12, 25]",,363,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,281,,0,Cherry Red Music (UK),[],Circles in London
68,341,256000,0,,2008-11-26 01:54:11,1981-01-01 00:00:00,84,0,Rock,[89],"[89, 12, 25]",,1498,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,1629,,0,Cherry Red Music (UK),[],Count Dracula's castle
69,342,256000,0,,2008-11-26 01:54:13,1981-01-01 00:00:00,55,0,Rock,[89],"[89, 12, 25]",,240,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,165,,0,Cherry Red Music (UK),[],Crash
70,343,256000,0,chris andrews,2008-11-26 01:54:15,1981-01-01 00:00:00,66,0,Rock,[89],"[89, 12, 25]",,5683,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,192,,0,Cherry Red Music (UK),[],Cybernetics
71,344,256000,0,,2008-11-26 01:54:16,1981-01-01 00:00:00,115,0,Rock,[89],"[89, 12, 25]",,190,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,111,,0,Cherry Red Music (UK),[],Denver
72,345,256000,0,,2008-11-26 01:54:18,1981-01-01 00:00:00,202,0,Rock,[89],"[89, 12, 25]",,326,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,251,,0,Cherry Red Music (UK),[],Ding dang (skat)
73,346,256000,0,,2008-11-26 01:54:21,1981-01-01 00:00:00,158,0,Rock,[89],"[89, 12, 25]",,252,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,181,,0,Cherry Red Music (UK),[],Disco Ghoul
74,347,256000,0,,2008-11-26 01:54:23,1981-01-01 00:00:00,150,0,Rock,[89],"[89, 12, 25]",,202,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,71,,0,Cherry Red Music (UK),[],Down in the pits again
75,348,256000,0,?,2008-11-26 01:54:25,1981-01-01 00:00:00,165,0,Rock,[89],"[89, 12, 25]",,132,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,97,,0,Cherry Red Music (UK),[],Excretia
76,349,256000,0,,2008-11-26 01:54:28,1981-01-01 00:00:00,74,0,Rock,[89],"[89, 12, 25]",,191,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,125,,0,Cherry Red Music (UK),[],Garden of Eden
77,350,256000,0,,2008-11-26 01:54:29,1981-01-01 00:00:00,101,1,Rock,[89],"[89, 12, 25]",,168,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,90,,0,Cherry Red Music (UK),[],Gotta Go
78,351,256000,0,,2008-11-26 01:54:31,1981-01-01 00:00:00,249,1,Rock,[89],"[89, 12, 25]",,269,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,150,,0,Cherry Red Music (UK),[],Hippopotamus
79,352,256000,0,,2008-11-26 01:54:35,2008-11-26 00:00:00,165,0,Rock,[89],"[89, 12, 25]",,609,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,505,,0,,[],In Arabia
80,353,256000,0,,2008-11-26 01:54:37,1981-01-01 00:00:00,149,1,Rock,[89],"[89, 12, 25]",,212,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,139,,0,Cherry Red Music (UK),[],In my Grandfather's Clock
81,354,256000,0,,2008-11-26 01:54:39,2008-11-26 00:00:00,60,1,Rock,[89],"[89, 12, 25]",,186,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,108,,0,,[],Julie Andrews
82,355,256000,0,,2008-11-26 01:54:42,2008-11-26 00:00:00,144,0,Rock,[89],"[89, 12, 25]",,133,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,65,,0,,[],Just you wait and see
83,356,256000,0,,2008-11-26 01:54:44,2008-11-26 00:00:00,225,0,Rock,[89],"[89, 12, 25]",,179,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,144,,0,,[],Little White Boxes
84,357,256000,0,,2008-11-26 01:54:46,2008-11-26 00:00:00,139,1,Rock,[89],"[89, 12, 25]",,215,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,165,,0,,[],Mr Mystery
85,358,256000,0,,2008-11-26 01:54:49,2008-11-26 00:00:00,121,0,Rock,[89],"[89, 12, 25]",,294,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,182,,0,,[],My House
86,359,256000,0,,2008-11-26 01:54:51,2008-11-26 00:00:00,178,0,Rock,[89],"[89, 12, 25]",,130,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,62,,0,,[],My Room
87,360,256000,0,,2008-11-26 01:54:54,2008-11-26 00:00:00,126,1,Rock,[89],"[89, 12, 25]",,332,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,255,,0,,[],Radio Jazz with Mr Rhodes
88,361,256000,0,,2008-11-26 01:54:57,2008-11-26 00:00:00,218,0,Rock,[89],"[89, 12, 25]",,140,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,65,,0,,[],Red coated young girlfriend
89,362,256000,0,,2008-11-26 01:54:59,,122,0,Rock,[89],"[89, 12, 25]",,131,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,59,,0,,[],Starsigns
90,363,256000,0,,2008-11-26 01:55:02,2008-11-26 00:00:00,165,0,Rock,[89],"[89, 12, 25]",,184,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,98,,0,,[],Sugar Bowl
91,364,256000,0,,2008-11-26 01:55:04,2008-11-26 00:00:00,152,0,Rock,[89],"[89, 12, 25]",,113,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,47,,0,,[],Sunspot activity
92,365,256000,0,,2008-11-26 01:55:06,2008-11-26 00:00:00,104,0,Rock,[89],"[89, 12, 25]",,445,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,326,,0,,[],The Sound of Music
93,366,256000,0,Blah Blah Blah,2008-11-26 01:55:09,2008-11-26 00:00:00,144,0,Rock,[89],"[89, 12, 25]",,141,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,67,,0,,[],The Swamp
94,367,256000,0,,2008-11-26 01:55:11,2008-11-26 00:00:00,110,0,Rock,[89],"[89, 12, 25]",,139,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,55,,0,,[],There goes my greenhouse
95,368,256000,0,,2008-11-26 01:55:14,2008-11-26 00:00:00,280,1,Rock,[89],"[89, 12, 25]",,3572,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,2281,,0,,[],Vampires
96,369,256000,0,,2008-11-26 01:55:19,2008-11-26 00:00:00,185,0,Rock,[89],"[89, 12, 25]",,2366,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,1551,,0,,[],Whistle while you work
97,370,256000,0,,2008-11-26 01:55:21,2008-11-26 00:00:00,213,0,Rock,[89],"[89, 12, 25]",,173,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,71,,0,,[],Why didn't Nero?
98,371,256000,0,,2008-11-26 01:55:24,2008-11-26 00:00:00,251,0,Rock,[89],"[89, 12, 25]",,114,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,47,,0,,[],vermalderhide
99,393,256000,0,,2008-11-26 01:56:49,2002-06-27 00:00:00,810,0,Rock,[12],[12],"<p>The unedited recording of Boogie Witch live at Silk City Lounge June 27, 2002.</p>",866,en,Attribution-NonCommercial-ShareAlike 3.0 International,424,,0,,[],"Untitled Boogie (edit), Transfiguration Boogie, Boogie Hole"
100,394,256000,0,,2008-11-26 01:56:56,2002-06-27 00:00:00,243,0,Rock,[12],[12],"<p>Recorded live at Silk City Lounge June 27, 2002.</p>",689,en,Attribution-NonCommercial-ShareAlike 3.0 International,280,,3,,[],Boogie Hole
101,395,256000,0,,2008-11-26 01:56:59,2002-06-27 00:00:00,380,0,Rock,[12],[12],"<p>Recorded live at Silk City Lounge June 27, 2002.</p>",619,en,Attribution-NonCommercial-ShareAlike 3.0 International,244,,2,,[],Transfiguration Boogie
102,458,256000,0,,2008-11-25 22:01:05,2008-11-26 00:00:00,223,11,Rock,[36],"[36, 12]",,1824,en,Attribution-NonCommercial-ShareAlike 3.0 International,1241,,4,,[],Hunt Like Devil 4
103,459,128000,0,,2008-11-25 22:01:08,2008-11-26 00:00:00,301,45,Rock,[36],"[36, 12]",,11132,en,Attribution-NonCommercial-ShareAlike 3.0 International,7765,,0,,[],Machines and Muscles
104,466,160000,0,,2008-11-26 02:01:33,2001-01-01 00:00:00,281,0,Rock,[27],"[27, 12]",,319,en,Attribution-NonCommercial-ShareAlike 3.0 International,85,,1,,[],Asterism
105,467,160000,0,,2008-11-26 02:01:42,,157,0,Rock,"[27, 66]","[66, 27, 12]",,871,en,Attribution-NonCommercial-ShareAlike 3.0 International,207,,1,,[],Let's Climb a Mossy Hill
106,468,160000,0,,2008-11-26 02:01:43,2008-11-26 00:00:00,296,0,Rock,"[25, 27]","[25, 27, 12]",,631,en,Attribution-NonCommercial-ShareAlike 3.0 International,176,,1,,[],Vast and Sad (KPSU)
107,469,128000,0,,2008-11-26 02:01:46,,221,0,Rock,"[27, 66]","[66, 27, 12]",,201,en,Attribution-NonCommercial-ShareAlike 3.0 International,28,,1,,[],Waverly
108,470,160000,0,,2008-11-26 02:01:48,,172,0,Rock,"[27, 66]","[66, 27, 12]",,374,en,Attribution-NonCommercial-ShareAlike 3.0 International,82,,2,,[],Cloud Light
109,471,160000,0,,2008-11-26 02:01:50,2001-01-01 00:00:00,199,1,Rock,[27],"[27, 12]",,173,en,Attribution-NonCommercial-ShareAlike 3.0 International,49,,2,,[],Ephrata Cloister
110,472,160000,0,,2008-11-26 02:01:51,,67,0,Rock,"[27, 66]","[66, 27, 12]",,255,en,Attribution-NonCommercial-ShareAlike 3.0 International,21,,2,,[],Spirit Duplicator
111,473,128000,0,,2008-11-26 02:01:53,,176,0,Rock,"[27, 66]","[66, 27, 12]",,258,en,Attribution-NonCommercial-ShareAlike 3.0 International,39,,2,,[],Victoria 1
112,474,160000,0,,2008-11-26 02:01:55,2008-11-26 00:00:00,187,0,Rock,"[25, 27]","[25, 27, 12]",,452,en,Attribution-NonCommercial-ShareAlike 3.0 International,139,,2,,[],Your Leather Jacket (Kelly Haus)
113,475,160000,0,,2008-11-26 02:01:56,2001-01-01 00:00:00,128,0,Rock,[27],"[27, 12]",,271,en,Attribution-NonCommercial-ShareAlike 3.0 International,62,,3,,[],Buddy Alan In Reno
114,476,160000,0,,2008-11-26 02:01:58,,231,0,Rock,"[27, 66]","[66, 27, 12]",,264,en,Attribution-NonCommercial-ShareAlike 3.0 International,29,,3,,[],Leftward Glance
115,477,160000,0,,2008-11-26 02:02:01,2008-11-26 00:00:00,177,0,Rock,"[25, 27]","[25, 27, 12]",,468,en,Attribution-NonCommercial-ShareAlike 3.0 International,118,,3,,[],Let's Climb a Mossy Hill (Kelly Haus)
116,478,160000,0,,2008-11-26 02:02:02,,104,0,Rock,"[27, 66]","[66, 27, 12]",,401,en,Attribution-NonCommercial-ShareAlike 3.0 International,60,,3,,[],Recessional
117,479,128000,0,,2008-11-26 02:02:03,,261,0,Rock,"[27, 66]","[66, 27, 12]",,590,en,Attribution-NonCommercial-ShareAlike 3.0 International,27,,3,,[],White Shoulders
118,480,160000,0,,2008-11-26 02:02:06,2008-11-26 00:00:00,58,0,Rock,"[25, 27]","[25, 27, 12]",,678,en,Attribution-NonCommercial-ShareAlike 3.0 International,149,,4,,[],Appear to Be (Kelly Haus)
119,481,128000,0,,2008-11-26 02:02:07,,126,0,Rock,"[27, 66]","[66, 27, 12]",,888,en,Attribution-NonCommercial-ShareAlike 3.0 International,22,,4,,[],Council Bluffs
120,482,160000,0,,2008-11-26 02:02:08,,119,0,Rock,"[27, 66]","[66, 27, 12]",,258,en,Attribution-NonCommercial-ShareAlike 3.0 International,14,,4,,[],Hall Blvd.
121,483,160000,0,,2008-11-26 02:02:10,,115,0,Rock,"[27, 66]","[66, 27, 12]",,351,en,Attribution-NonCommercial-ShareAlike 3.0 International,83,,4,,[],Magnolias Milan
122,484,160000,0,,2008-11-26 02:02:11,2001-01-01 00:00:00,138,0,Rock,[27],"[27, 12]",,259,en,Attribution-NonCommercial-ShareAlike 3.0 International,36,,4,,[],One Rose Among Many
123,485,160000,0,,2008-11-26 02:02:13,2008-11-26 00:00:00,213,0,Rock,"[25, 27]","[25, 27, 12]",,418,en,Attribution-NonCommercial-ShareAlike 3.0 International,116,,5,,[],Asterism (Kelly Haus)
124,486,128000,0,,2008-11-26 02:02:16,,170,0,Rock,"[27, 66]","[66, 27, 12]",,344,en,Attribution-NonCommercial-ShareAlike 3.0 International,29,,5,,[],Avoid
125,487,160000,0,,2008-11-26 02:02:17,2001-01-01 00:00:00,118,0,Rock,[27],"[27, 12]",,1661,en,Attribution-NonCommercial-ShareAlike 3.0 International,38,,5,,[],For Christie 7/4
